npv4%               ,SV30                ,removal1            ,removal2            ,removal3            ,dummy
max,max,max,max,max,var
-1.37321E+11,-2972377493,-1294046205,-998019601,-207143183.7,1
-1.35748E+11,567337989.7199997   ,-1051832258,-1867803808,-2344505828,1
-1.37028E+11,276950234.7100056   ,-1032188213,-1832331246,-2286270563,1
-1.35699E+11,-1663909934,-897088159.5,-1588344557,-1173562633,1
-1.35668E+11,-1274311666,-778995924.4,-2246273660,-824161150.1,1
-1.33525E+11,-3620204332,-1312693850,-4840089.56,-588902908.4,1
-1.35214E+11,695094616.4599943   ,-1321651649,-24548399.2,-4229306178,1
-1.34999E+11,394449589.12999886  ,-614067317.5,-2502681332,-1945687457,1
-1.385E+11,-978665892.8,-1829151750,-1238471007,-628370640.4,1
-1.36608E+11,-661792539.4,-1313110997,-1957747358,-616883985.7,1
-1.35486E+11,-1372985493,-622646614.1,-2627384571,-258685182.6,1
-1.36813E+11,-2886220877,-1003032249,-1324671958,-184368740,1
-1.33918E+11,-1619758079,-1167268252,-4158828.46,-2578977006,1
-1.41883E+11,-1475509301,-1946943751,-748521809.5,-816420060.8,1
-1.35862E+11,689087150.7299924   ,-1099742339,-681870801.9,-3751682423,1
-1.32584E+11,-383924335.5,-598740930.2,-2817749667,-696409174.5,1
-1.35572E+11,-3878211298,-1492929276,-113423849.5,-33654349.26,1
-1.3847E+11,-150688591.1,-1094818950,-1121769882,-2688005104,1
-1.3696E+11,341284634.24000216  ,-1431729736,-7812135.07,-3899764282,1
-1.25754E+11,-4373943455,-827551201.3,-291640631.4,-17653239.18,1
-1.36691E+11,-2449661058,-1424751925,-5351324.24,-1566350661,1
-1.39591E+11,497154514.84999925  ,-1866986169,-971705711.8,-2245241299,1
-1.24384E+11,-3164156600,-704826786.5,-3779299.02,-1571050076,1
-1.35933E+11,-562674480.5,-605286790.7,-2440113402,-1323154544,1
-1.38016E+11,-1710773758,-1068711375,-1074617632,-1474074429,1
-1.26711E+11,903790414.0799905   ,-743549204.2,-14970701.84,-4956553047,1
-1.37064E+11,484468156.0799987   ,-890974714.8,-1779849095,-2608760446,1
-1.37784E+11,-797694577.6,-1577667633,-1607380887,-617838964.9,1
-1.39422E+11,-932283062.9,-1462903553,-301056670.3,-2560758890,1
-1.29579E+11,823060728.3899903   ,-523982813.9,-1118882526,-3952960416,1
-1.35033E+11,-679701855.1,-551557773,-2735590461,-788991459,1
-1.34356E+11,718541782.1199945   ,-1254951985,-15486160.22,-4323478955,1
-1.3767E+11,-2718891952,-1289073064,-558750352.2,-884171992.3,1
-1.39746E+11,-2383046605,-1948667573,-179424793.7,-654420933.6,1
-1.35416E+11,-364484146.3,-591276355.1,-2681955506,-1075604496,1
-1.37107E+11,-2453337812,-892506531.5,-1884236425,-29281217.81,1
-1.38295E+11,-599519709.7,-1173448174,-2085254714,-814968668.4,1
-1.306E+11,-274636919.9,-935112749.7,-2880850.69,-3947191477,1
-1.30656E+11,420228730.0199975   ,-229528507,-3040404198,-1712101713,1
-1.39988E+11,-1513257296,-1291752270,-1479946090,-959153304.2,1
-1.40359E+11,-476457442.3,-1195488902,-1403473561,-1984772862,1
-1.35129E+11,228005254.7100049   ,-637901589.3,-1931289622,-2560651561,1
-1.33493E+11,-3578670775,-1001224976,-865283938.3,-19785183.05,1
-1.37366E+11,-729097018,-1472031006,-1749698206,-626122572.4,1
-1.34142E+11,-493270501.2,-937203939.3,-2430006940,-626317895.6,1
-1.33924E+11,630238208.8,-658948585.8,-1678068687,-3083496453,1
-1.36708E+11,-1623452924,-740108693.7,-1967838377,-880440309.3,1
-1.41482E+11,-866276878.2,-1882835146,-178803909.9,-2169979654,1
-1.40981E+11,-1295462600,-1859236507,-223677168.5,-1850683695,1
-1.39334E+11,-1102319154,-1947086880,-918484406.6,-773451812.4,1
-1.29341E+11,-3136660743,-570643539.1,-1167737489,-546990356.5,1
-1.33233E+11,-2627606708,-1020998020,-397897251.6,-1404498712,1
-1.3653E+11,232096528.62000242  ,-1080899341,-712912625.7,-3447307994,1
-1.39762E+11,292789616.7700043   ,-1901779813,-188184193.1,-3059534898,1
-1.37086E+11,-622306712.9,-1340339351,-1921185524,-684250996.9,1
